State,Num1
END,567
END,565
END,570
END,564
END,569
END,570
END,563
END,570
END,566
END,565
END,571
END,564
END,569
END,570
END,563
END,571
END,567
END,565
END,570
END,564
END,569
END,569
END,563
END,570
END,566
END,565
END,570
END,563
END,569
END,568
END,563
END,570
END,566
END,565
END,570
END,564
END,569
END,569
END,563
END,570
END,566
END,565
END,570
END,563
END,569
END,568
END,563
END,570
END,565
END,566
END,570
END,564
END,570
END,568
END,563
END,570
END,565
END,566
END,570
END,564
END,570
END,568
END,563
END,570
END,565
END,567
END,571
END,564
END,570
END,568
END,564
END,570
END,565
END,567
END,570
END,563
END,570
END,568
END,563
END,570
END,565
END,567
END,570
END,563
END,570
END,567
END,564
END,570
END,565
END,568
END,570
END,563
END,570
END,567
END,564
END,570
END,564
END,567
END,570
END,563
END,570
END,568
END,564
END,570
END,564
END,568
END,570
END,563
END,570
END,567
END,564
END,570
END,564
END,568
END,569
END,562
END,570
END,566
END,564
END,571
END,564
END,568
END,569
END,562
END,570
END,567
END,564
END,570
END,564
END,568
END,569
END,563
END,570
END,566
END,564
END,570
END,564
END,569
END,569
END,562
END,570
END,566
END,565
END,570
END,563
END,569
END,569
END,562
END,570
END,566
END,565
END,570
END,563
END,569
END,569
END,562
END,570
END,565
END,565
END,570
END,563
END,569
END,568
END,563
END,570
END,565
END,565
END,570
END,563
END,569
END,568
END,563
END,569
END,565
END,565
END,570
END,563
END,569
END,568
END,563
END,570
END,565
END,566
END,570
END,563
END,570
END,568
END,563
END,570
END,565
END,566
END,570
END,563
END,570
END,569
END,564
END,571
END,565
END,567
END,570
END,563
END,570
END,568
END,563
END,570
END,564
END,567
END,569
END,562
END,569
END,567
END,563
END,569
END,564
END,567
END,569
END,562
END,569
END,567
END,563
END,570
END,564
END,567
END,569
END,562
END,569
END,567
END,563
END,570
END,564
END,567
END,569
END,562
END,569
END,566
END,563
END,570
END,564
END,568
END,569
END,562
END,569
END,566
END,563
END,570
END,563
END,568
END,569
END,562
END,569
END,566
END,564
END,570
END,563
END,568
END,569
END,562
END,569
END,566
END,564
END,570
END,563
END,568
END,568
END,562
END,570
END,565
END,564
END,570
END,563
END,568
END,568
END,562
END,569
END,565
END,564
END,570
END,563
END,569
END,568
END,562
END,569
END,565
END,565
END,569
END,563
END,569
END,568
END,562
END,569
END,565
END,565
END,569
END,562
END,569
END,568
END,562
END,569
END,564
END,565
END,569
END,562
END,569
END,567
END,562
END,570
END,565
END,565
END,569
END,562
END,569
END,567
END,562
END,569
END,564
END,565
END,569
END,562
END,569
END,567
END,562
END,569
END,565
END,566
END,570
END,562
END,569
END,567
END,562
END,569
END,564
END,566
END,569
END,562
END,569
END,566
END,563
END,569
END,563
END,566
END,569
END,562
END,569
END,566
END,563
END,569
END,564
END,566
END,569
END,562
END,569
END,566
END,563
END,569
END,563
END,567
END,569
END,562
END,569
END,566
END,563
END,569
END,563
END,567
END,569
END,562
END,569
END,566
END,563
END,569
END,563
END,567
END,568
END,562
END,569
END,566
END,563
END,569
